,R. salebrosus
GT90,4
GT35,1
GH16,9
GH3,4
AA3,8
GH30,2
GH79,3
GH38,2
GH5,23
CE16,4
AA9,3
AA1,20
GH31,4
AA5,3
GH95,2
GH25,2
GH18,9
GT69,4
GH13,5
GH55,2
GT2_Glycos_transf,1
GT33,1
GH72,1
PL8,1
CE8,3
GH92,3
CE10,12
CE1,2
GT21,1
PL35,1
GT8,2
GT1,1
GT59,1
GT22,6
GT2_Chitin_synth,9
GH47,6
GH28,1
CBM21,1
GH35,1
GT32,1
CE4,2
GH2,3
GT57,2
GH9,1
GH128,2
GH125,1
GT39,4
GH85,2
GH71,1
CBM20,1
GH15,1
CBM50,1
PL14,4
AA14,4
GH131,2
GH20,3
GH37,2
GT48,2
GT15,2
GT50,1
GT58,2
GT4,3
AA7,1
AA6,2
GT20,2
GH152,1
GH1,2
GH17,2
GT2_Glyco_trans_2,4
GT3,1
GH89,2
CE9,1
GH29,1
GT76,1
GH43,2
GH117,1
GH76,1
GT2_Glyco_tranf_2,1
GH12,1
GH133,1
GT66,1
AA8,1
