,R. salebrosus
C85A,1
A01A,44
C19,17
M16B,3
C65,1
S09C,12
M01,4
S09X,27
C54,1
M50B,1
C26,10
S33,31
M38,14
C14B,13
I51,4
S14,1
S28,2
C48,2
T01A,13
M24A,3
M41,2
T03,2
S54,2
M67X,2
M16C,1
S26A,2
M67A,4
M03A,4
M80,4
M76,1
S10,19
M17,1
M24B,8
S12,10
S53,11
A28A,1
S59,1
I87,1
M28B,2
C56,2
T01X,1
M18,1
M28E,4
C44,5
C97,1
M20F,5
M79,1
M28X,3
S08B,1
C85,1
M49,1
C85B,1
M16A,1
C50,1
C13,2
M20D,5
S26B,4
M67C,1
I32,1
M24X,2
C78B,2
M13,1
C115,2
M48C,1
C02A,1
S08A,1
M19,1
C12,2
T02,3
C15,1
C01B,1
C86,1
A22B,2
T05,1
M20A,4
S09A,1
S09B,1
S16,1
M36,1
M48A,1
