,R. salebrosus,descriptions
PF00400,480,"WD domain, G-beta repeat"
PF00069,273,Protein kinase domain
PF07714,269,Protein tyrosine and serine/threonine kinase
PF07690,249,Major Facilitator Superfamily
PF00067,152,Cytochrome P450
PF01926,134,50S ribosome-binding GTPase
PF12937,108,F-box-like
PF20151,91,Family of unknown function (DUF6533)
PF00271,91,Helicase conserved C-terminal domain
PF00106,81,short chain dehydrogenase
PF12894,80,Anaphase-promoting complex subunit 4 WD40 domain
PF13561,79,Enoyl-(Acyl carrier protein) reductase
PF06985,78,Heterokaryon incompatibility protein (HET)
PF00076,71,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
PF08659,67,KR domain
PF20152,62,Family of unknown function (DUF6534)
PF00270,59,DEAD/DEAH box helicase
PF00004,54,ATPase family associated with various cellular activities (AAA)
PF00172,52,Fungal Zn(2)-Cys(6) binuclear cluster domain
PF00248,48,Aldo/keto reductase family
PF00083,47,Sugar (and other) transporter
PF00005,46,ABC transporter
PF08241,45,Methyltransferase domain
PF00025,44,ADP-ribosylation factor family
PF00153,42,Mitochondrial carrier protein
PF04851,42,"Type III restriction enzyme, res subunit"
PF13649,42,Methyltransferase domain
PF00646,42,F-box domain
PF00097,40,"Zinc finger, C3HC4 type (RING finger)"
PF00026,40,Eukaryotic aspartyl protease
PF13520,40,Amino acid permease
PF00071,37,Ras family
PF00107,37,Zinc-binding dehydrogenase
PF12697,36,Alpha/beta hydrolase family
PF01494,36,FAD binding domain
PF01753,35,MYND finger
PF08477,35,"Ras of Complex, Roc, domain of DAPkinase"
PF05729,33,NACHT domain
PF20153,33,Family of unknown function (DUF6535)
PF00651,33,BTB/POZ domain
PF00226,32,DnaJ domain
PF00501,32,AMP-binding enzyme
PF00149,31,Calcineurin-like phosphoesterase
PF08662,31,Eukaryotic translation initiation factor eIF2A
PF00096,31,"Zinc finger, C2H2 type"
PF04082,31,Fungal specific transcription factor domain
PF13489,30,Methyltransferase domain
PF00324,29,Amino acid permease
PF13847,28,Methyltransferase domain
PF08240,28,Alcohol dehydrogenase GroES-like domain
PF01370,27,NAD dependent epimerase/dehydratase family
PF12770,26,CHAT domain
PF00176,25,SNF2-related domain
PF07992,25,Pyridine nucleotide-disulphide oxidoreductase
PF13417,23,"Glutathione S-transferase, N-terminal domain"
PF13409,23,"Glutathione S-transferase, N-terminal domain"
PF20236,23,Family of unknown function (DUF6593)
PF13639,23,Ring finger domain
PF00702,22,haloacid dehalogenase-like hydrolase
PF00397,22,WW domain
PF14226,22,non-haem dioxygenase in morphine synthesis N-terminal
PF00439,22,Bromodomain
PF00583,22,Acetyltransferase (GNAT) family
PF00018,22,SH3 domain
PF13374,21,Tetratricopeptide repeat
PF13450,21,NAD(P)-binding Rossmann-like domain
PF04548,21,AIG1 family
PF00023,20,Ankyrin repeat
PF12796,20,Ankyrin repeats (3 copies)
PF00179,20,Ubiquitin-conjugating enzyme
PF01423,20,LSM domain
PF03171,20,2OG-Fe(II) oxygenase superfamily
PF13087,19,AAA domain
PF00150,19,Cellulase (glycosyl hydrolase family 5)
PF00394,19,Multicopper oxidase
