	SUM_TOTAL	Scaffold1	Scaffold2	Scaffold3	Scaffold4	Scaffold5	Scaffold6	Scaffold7	Scaffold8	Scaffold9	Scaffold10	Scaffod11
length	34100419	4046157	4522394	3457480	3066061	2854522	3139441	2669655	2761594	2682980	2530399	2369736
variants total	734846	129445	73554	59290	81789	67057	63417	60466	46747	47813	47555	57713
phased variants	687524	121921	70501	56326	76446	62087	59768	55393	42839	44853	43755	53635
Number of blocks	232	29	16	14	21	19	20	29	29	12	27	16
Largest block length (bp)	32003559	3496656	4019472	3381480	3138472	2715800	2854131	2756934	2480967	2636497	2263032	2260118
												
												
		scaffold_2	scaffold_1	scaffold_3	scaffold_5	scaffold_6	scaffold_4	scaffold_9	scaffold_7	scaffold_8	scaffold_10	scaffold_11
												
	length	variants total	phased variants	Number of blocks	Largest block length (bp)							
SUM_TOTAL	34100419	734846	687524	232	32003559							
Scaffold1	4046157	129445	121921	29	3496656							
Scaffold2	4522394	73554	70501	16	4019472							
Scaffold3	3457480	59290	56326	14	3381480							
Scaffold4	3066061	81789	76446	21	3138472							
Scaffold5	2854522	67057	62087	19	2715800							
Scaffold6	3139441	63417	59768	20	2854131							
Scaffold7	2669655	60466	55393	29	2756934							
Scaffold8	2761594	46747	42839	29	2480967							
Scaffold9	2682980	47813	44853	12	2636497							
Scaffold10	2530399	47555	43755	27	2263032							
Scaffod11	2369736	57713	53635	16	2260118							
