GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
FUN0_000001	scaffold_1:281-1453	+	337	hypothetical protein													
FUN0_000002	scaffold_1:4842-6722	-	612	hypothetical protein		ENOG503PEEV											
FUN0_000003	scaffold_1:6896-7490	-	197	hypothetical protein		ENOG503PEEV											
FUN0_000004	scaffold_1:8334-9705	+	456	hypothetical protein		ENOG503NY6D											
FUN0_000005	scaffold_1:10953-11343	-	129	hypothetical protein													
FUN0_000006	scaffold_1:12317-13246	+	220	hypothetical protein													
FUN0_000007	scaffold_1:14225-14492	-	88	hypothetical protein													
FUN0_000009	scaffold_1:16500-17063	-	171	hypothetical protein													
FUN0_000010	scaffold_1:17626-18460	-	277	hypothetical protein		ENOG503P0YR											
FUN0_13021	scaffold_1:19988-21840	-	557	hypothetical protein		ENOG503Q3M1									GO:0005515 protein binding		
FUN0_000011	scaffold_1:23156-24004	+	198	hypothetical protein													
FUN0_000012	scaffold_1:24037-24604	+	188	hypothetical protein		ENOG50KOG0266											
FUN0_000013	scaffold_1:24618-25233	+	184	hypothetical protein		ENOG503NZ4C											
FUN0_000014	scaffold_1:31176-31857	-	190	hypothetical protein													
FUN0_000015	scaffold_1:34676-35180	-	167	hypothetical protein		ENOG503Q6I9											
FUN0_000016	scaffold_1:35688-36243	-	184	hypothetical protein		ENOG503Q6I9											
FUN0_000017	scaffold_1:36425-36785	-	119	hypothetical protein		ENOG503Q6I9											
FUN0_000018	scaffold_1:37145-39320	-	724	hypothetical protein		ENOG503Q6I9											
FUN0_000019	scaffold_1:44465-45951	-	474	hypothetical protein		ENOG503NXCX									GO:0003700 DNA-binding transcription factor activity; GO:0043565 sequence-specific DNA binding; GO:0006355 regulation of DNA-templated transcription		
FUN0_000020	scaffold_1:46971-47247	-	91	Endoplasmic reticulum chaperone BiP		ENOG503B99M									GO:0005524 ATP binding; GO:0140662 ATP-dependent protein folding chaperone		
FUN0_000021	scaffold_1:47704-48480	-	196	substrate-specific activator of APC-dependent proteolysis		ENOG503NU21									GO:0005515 protein binding; GO:0097027 ubiquitin-protein transferase activator activity; GO:0010997 anaphase-promoting complex binding; GO:1904668 positive regulation of ubiquitin protein ligase activity		
FUN0_000022	scaffold_1:48664-49143	-	117	hypothetical protein													
FUN0_000023	scaffold_1:49366-50704	-	410	hypothetical protein		ENOG503PD77											
FUN0_000024	scaffold_1:50836-54729	+	1234	hypothetical protein		ENOG503PF0I											
FUN0_000024	scaffold_1:50836-54620	+	1221	hypothetical protein		ENOG503PF0I											
FUN0_000025	scaffold_1:56011-58238	-	492	hypothetical protein		ENOG503NTW3									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_000025	scaffold_1:56011-57810	-	400	hypothetical protein		ENOG503NTW3									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_000026	scaffold_1:61830-62692	-	208	hypothetical protein		ENOG503PD5I											
FUN0_000027	scaffold_1:63160-64038	+	184	hypothetical protein		ENOG503Q34P											
FUN0_000028	scaffold_1:64271-64850	+	157	fatty acid synthase alpha subunit Lsd1		ENOG503NV76									GO:0016746 acyltransferase activity		
FUN0_000029	scaffold_1:65033-65405	+	87	fatty acid synthase alpha subunit Lsd1		ENOG503NV76											
FUN0_000030	scaffold_1:67692-71334	-	1138	hypothetical protein		ENOG503P10I											
FUN0_000031	scaffold_1:72447-72942	-	147	hypothetical protein													
FUN0_000032	scaffold_1:79235-79868	-	210	hypothetical protein		ENOG503P29I											
FUN0_000033	scaffold_1:82631-84582	-	600	hypothetical protein		ENOG503P29I											
FUN0_000034	scaffold_1:87813-88389	+	191	hypothetical protein		ENOG5038F42									GO:0008270 zinc ion binding; GO:0003676 nucleic acid binding		
FUN0_000035	scaffold_1:88785-89373	+	195	hypothetical protein		ENOG5038F42											
FUN0_000036	scaffold_1:93841-95814	-	591	oxidation resistance protein 1		ENOG503NZIW											
FUN0_000036	scaffold_1:94076-95814	-	534	oxidation resistance protein 1, variant 2		ENOG503NZIW											
FUN0_000037	scaffold_1:96745-97168	+	122	Glutathione synthetase		ENOG503NU0F									GO:0005524 ATP binding; GO:0004363 glutathione synthase activity; GO:0006750 glutathione biosynthetic process		
FUN0_13022	scaffold_1:98736-99270	+	177	hypothetical protein													
FUN0_000038	scaffold_1:100477-100687	+	69	hypothetical protein													
FUN0_000039	scaffold_1:100717-101905	+	395	hypothetical protein		ENOG50											
FUN0_000040	scaffold_1:102084-105727	-	1127	hypothetical protein		ENOG503Q6I9									GO:0005515 protein binding		
FUN0_000041	scaffold_1:107558-107945	+	128	hypothetical protein		ENOG503P29I											
FUN0_000042	scaffold_1:109753-111211	+	485	hypothetical protein		ENOG50											
FUN0_000043	scaffold_1:111420-114486	-	966	hypothetical protein		ENOG503Q6I9									GO:0005515 protein binding		
